2,300,300,30,1,1358.0
3,800,800,80,2,1373.455361
4,1160,1160,116,2,1303.455361
5,60,60,6,1,1146.910722
6,390,390,39,2,1288.455361
7,860,860,86,2,1358.455361
8,1210,1210,121,2,1298.455361
9,90,90,9,1,1126.910722
10,450,450,45,2,1303.455361
11,870,870,87,2,1333.455361
12,1230,1230,123,2,1303.455361
13,110,110,11,1,1126.910722
14,460,460,46,2,1298.455361
15,900,900,90,2,1343.455361
16,1230,1230,123,2,1288.455361
17,120,120,12,1,1136.910722
18,450,450,45,2,1288.455361
19,900,900,90,2,1348.455361
20,1240,1240,124,2,1293.455361
21,130,130,13,1,1136.910722
22,510,510,51,2,1313.455361
23,940,940,94,2,1338.455361
24,1280,1280,128,2,1293.455361
25,170,170,17,1,1136.910722
26,580,580,58,2,1328.455361
27,1030,1030,103,2,1348.455361
28,1310,1310,131,2,1263.455361
29,230,230,23,1,1166.910722
30,620,620,62,2,1318.455361
31,1070,1070,107,2,1348.455361
32,0,0,0,1,1176.910722
33,270,270,27,2,1258.455361
34,710,710,71,2,1343.455361
35,1110,1110,111,2,1323.455361
36,30,30,3,1,1166.910722
37,310,310,31,2,1263.455361
38,750,750,75,2,1343.455361
39,1150,1150,115,2,1323.455361
40,30,30,3,1,1126.910722
41,340,340,34,2,1278.455361
42,750,750,75,2,1328.455361
43,1150,1150,115,2,1323.455361
44,40,40,4,1,1136.910722
45,350,350,35,2,1278.455361
46,800,800,80,2,1348.455361
47,1170,1170,117,2,1308.455361
48,80,80,8,1,1156.910722
49,400,400,40,2,1283.455361
50,860,860,86,2,1353.455361
51,1210,1210,121,2,1298.455361
52,110,110,11,1,1146.910722
53,460,460,46,2,1298.455361
54,880,880,88,2,1333.455361
55,1230,1230,123,2,1298.455361
56,110,110,11,1,1126.910722
57,450,450,45,2,1293.455361
58,890,890,89,2,1343.455361
59,1220,1220,122,2,1288.455361
60,130,130,13,1,1156.910722
61,470,470,47,2,1293.455361
62,940,940,94,2,1358.455361
63,1270,1270,127,2,1288.455361
64,180,180,18,1,1156.910722
65,580,580,58,2,1323.455361
66,1010,1010,101,2,1338.455361
67,1330,1330,133,2,1283.455361
68,240,240,24,1,1156.910722
69,660,660,66,2,1333.455361
70,1090,1090,109,2,1338.455361
71,0,0,0,1,1156.910722
72,300,300,30,2,1273.455361
73,700,700,70,2,1323.455361
74,1130,1130,113,2,1338.455361
75,30,30,3,1,1146.910722
76,330,330,33,2,1273.455361
77,770,770,77,2,1343.455361
78,1150,1150,115,2,1313.455361
79,70,70,7,1,1166.910722
80,380,380,38,2,1278.455361
81,860,860,86,2,1363.455361
82,1220,1220,122,2,1303.455361
83,120,120,12,1,1146.910722
84,480,480,48,2,1303.455361
85,920,920,92,2,1343.455361
86,1270,1270,127,2,1298.455361
87,160,160,16,1,1136.910722
88,550,550,55,2,1318.455361
89,1010,1010,101,2,1353.455361
90,1300,1300,130,2,1268.455361
91,240,240,24,1,1186.910722
92,610,610,61,2,1308.455361
93,1080,1080,108,2,1358.455361
94,0,0,0,1,1166.910722
95,280,280,28,2,1263.455361
96,710,710,71,2,1338.455361
97,1110,1110,111,2,1323.455361
98,20,20,2,1,1156.910722
99,300,300,30,2,1263.455361
100,740,740,74,2,1343.455361
101,1140,1140,114,2,1323.455361
102,30,30,3,1,1136.910722
103,350,350,35,2,1283.455361
104,770,770,77,2,1333.455361
105,1180,1180,118,2,1328.455361
106,80,80,8,1,1146.910722
107,410,410,41,2,1288.455361
108,900,900,90,2,1368.455361
109,1230,1230,123,2,1288.455361
110,150,150,15,1,1166.910722
111,490,490,49,2,1293.455361
112,990,990,99,2,1373.455361
113,1300,1300,130,2,1278.455361
114,210,210,21,1,1156.910722
115,630,630,63,2,1333.455361
116,1060,1060,106,2,1338.455361
117,0,0,0,1,1186.910722
118,280,280,28,2,1263.455361
119,740,740,74,2,1353.455361
120,1140,1140,114,2,1323.455361
121,50,50,5,1,1156.910722
122,380,380,38,2,1288.455361
123,830,830,83,2,1348.455361
124,1210,1210,121,2,1313.455361
125,100,100,10,1,1136.910722
126,440,440,44,2,1293.455361
127,930,930,93,2,1368.455361
128,1250,1250,125,2,1283.455361
129,160,160,16,1,1156.910722
130,510,510,51,2,1298.455361
131,990,990,99,2,1363.455361
132,1300,1300,130,2,1278.455361
133,210,210,21,1,1156.910722
134,630,630,63,2,1333.455361
135,1050,1050,105,2,1333.455361
136,1330,1330,133,2,1263.455361
137,250,250,25,1,1166.910722
138,690,690,69,2,1343.455361
139,1100,1100,110,2,1328.455361
140,10,10,1,1,1156.910722
141,300,300,30,2,1268.455361
142,730,730,73,2,1338.455361
143,1150,1150,115,2,1333.455361
144,50,50,5,1,1146.910722
145,360,360,36,2,1278.455361
146,860,860,86,2,1373.455361
147,1200,1200,120,2,1293.455361
148,130,130,13,1,1176.910722
149,470,470,47,2,1293.455361
150,970,970,97,2,1373.455361
151,1290,1290,129,2,1283.455361
152,200,200,20,1,1156.910722
153,610,610,61,2,1328.455361
154,1030,1030,103,2,1333.455361
155,1330,1330,133,2,1273.455361
156,240,240,24,1,1156.910722
157,700,700,70,2,1353.455361
158,1110,1110,111,2,1328.455361
159,30,30,3,1,1166.910722
160,340,340,34,2,1278.455361
161,820,820,82,2,1363.455361
162,1200,1200,120,2,1313.455361
163,110,110,11,1,1156.910722
164,460,460,46,2,1298.455361
165,960,960,96,2,1373.455361
166,1270,1270,127,2,1278.455361
167,190,190,19,1,1166.910722
168,570,570,57,2,1313.455361
169,1040,1040,104,2,1358.455361
170,1330,1330,133,2,1268.455361
171,250,250,25,1,1166.910722
172,690,690,69,2,1343.455361
173,1090,1090,109,2,1323.455361
174,20,20,2,1,1176.910722
175,290,290,29,2,1258.455361
176,760,760,76,2,1358.455361
177,1140,1140,114,2,1313.455361
178,50,50,5,1,1156.910722
179,360,360,36,2,1278.455361
180,800,800,80,2,1343.455361
181,1180,1180,118,2,1313.455361
182,80,80,8,1,1146.910722
